bag,name,sprite,sprite2,class2,occasion,once,bag2,throw,gen,game,rgby,gsc,rse,frlg,dppt,hgss,bwb2w2,xyoras,smusum,lple,swsh,bdsp,effect,xy,oras,spritesize,sprite3,class3,img,size,la,lp,swshe,section,section1,球果盒,held,bw,b2w2,lg,rgb,p,pt,d,bd,sp,class,m,usum,w,w2,b,b2,ru,ss,sa,hg,e,tcg,sm,5b,sprite4,class4,bwb2y2,snum,basis,pluck,bugbite,type,power,color,bnum,sprite5,class5,jpname,enname,section2,class6,sprite6,sprite7,class7,c,or,rs,dp,as,s,us,um,class1
道具,,Bag 久久肥 Sprite.png,,,no,,,,,{{道具信息框/game,,,,,y,y,y,,,,,,"树果成熟后，掉落之前的保留时间延长50%。DPPtHGSS
吹寄市的肥料培育家高价收购。B2W2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Bag 粘粘肥 Sprite.png,,,no,,,,,{{道具信息框/game,,,,,y,y,y,,,,,,"树果枯萎后长出新芽的次数增加50%。DPPtHGSS
吹寄市的肥料培育家高价收购。B2W2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Bag 硕果肥 Sprite.png,,,out,,,,,{{道具信息框/game,,,,,,,,,,,,,树果的结果量+2。,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Bag 吃惊肥 Sprite.png,,,out,,,,,{{道具信息框/game,,,,,,,,,,,,,增加树果突变的几率。,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Bag 劲劲肥 Sprite.png,,,out,,,,,{{道具信息框/game,,,,,,,,,,,,,施下的土壤每过四个小时就会变得干旱。,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Bag 超效肥 Sprite.png,,,out,,,,,{{道具信息框/game,,,,,,,,,,,,,"同时具备劲劲肥、吃惊肥和硕果肥的效果：
施下的土壤每过四个小时就会变得干旱。
树果的结果量+2。
增加树果突变的几率。",y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Dream 甜甜蜜 Sprite.png30px,Bag 甜甜蜜 Sprite.png,神奥,,,道具、宝物,,,{{道具信息框/game,,,,,y,y,y,,y,,y,y,"涂抹在甜甜蜜树上，一定时间后前来调查可能会遇到野生寶可夢。DPPtBDSP
在可以遭遇野生宝可梦的地方使用，直接与野生宝可梦发生对战。LPLESWSH除外
如果该地点可以触发群聚对战，则必定是群聚对战。
只能在晴朗ΩRαS之前或薄雾DPPtBDSP天气下使用。",y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重要物品,楔石,Bag 楔石 LA Sprite.png,Bag 楔石 BDSP Sprite.png,SP,,,道具、重要物品,,,{{道具信息框/game,,,,,y,y,y,,,,,y,"将其放在灵魂之塔后，进入地下通道与32位玩家对话后，回到灵魂之塔可以遇到花岩怪DPPt。
将其放在灵魂之塔后，进入地下大洞窟与32位不同的人对话后，回到灵魂之塔可以遇到花岩怪BDSP。
主角携带后可以看见各地的幽火，调查幽火可将其收集在楔石内，集齐全部108个幽火可在云雾遗迹遇到花岩怪，并完成副任务22 飘浮在黑夜的幽火LA。  封印岩地楔石形态的花岩怪",,,40px,Bag 楔石 Sprite.png,钻石,楔石 地下大洞窟.png,80px,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Bag 释出之玉 Sprite.png,,,,,,,,{{道具信息框/game,,,,,,,y,,,,,,可以在连入的入口之树兑换释出之力。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Dream 折价券 Sprite.png30px,Bag 折价券 Sprite.png,卡洛斯,,,,,,{{道具信息框/game,,,,,,,,,,,,,可以在卡洛斯地区各地的时装店以半价购买衣装。,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,圆庆票,Dream 圆庆票 Sprite.png30px,Bag 圆庆票 Sprite.png,道具,,,道具,,,{{道具信息框/game,,,,,,,,,y,,,,在圆庆广场开启游乐项目。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Bag 朱红色花蜜 Sprite.png,,,out,,,,,{{道具信息框/game,,,,,,,,,y,,,,让任意形态的花舞鸟形态转换为热辣热辣风格。,,,,,,Dream 朱红色花蜜 Sprite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Bag 金黄色花蜜 Sprite.png,,,out,,,,,{{道具信息框/game,,,,,,,,,y,,,,让任意形态的花舞鸟形态转换为啪滋啪滋风格。,,,,,,Dream 金黄色花蜜 Sprite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Bag 桃粉色花蜜 Sprite.png,,,out,,,,,{{道具信息框/game,,,,,,,,,y,,,,让任意形态的花舞鸟形态转换为呼拉呼拉风格。,,,,,,Dream 桃粉色花蜜 Sprite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Bag 兰紫色花蜜 Sprite.png,,,out,,,,,{{道具信息框/game,,,,,,,,,y,,,,让任意形态的花舞鸟形态转换为轻盈轻盈风格。,,,,,,Dream 兰紫色花蜜 Sprite.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Bag 树叶信 皮卡丘 Sprite.png,,,no,,,,,{{道具信息框/game,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Bag 小小花束 Sprite.png,,,,,道具,,,{{道具信息框/game,,,,,,,,,,y,,,不能使用。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Bag 引虫香水 Sprite.png,,,out,yes,,,,{{道具信息框/game,,,,,,,,,,y,,,在100步内提升与高等级宝可梦相遇的概率，包括与异色宝可梦相遇的概率。遇到的宝可梦会比该区域内出现宝可梦的最高等级还高一级。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Bag 白银香水 Sprite.png,,,both,yes,,,,{{道具信息框/game,,,,,,,,,,y,,,在200步内提升与高等级宝可梦相遇的概率，包括与异色宝可梦相遇的概率。遇到的宝可梦会比该区域内出现宝可梦的最高等级还高一级。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Bag 黄金香水 Sprite.png,,,out,yes,,,,{{道具信息框/game,,,,,,,,,,y,,,在250步内提升与高等级宝可梦相遇的概率，包括与异色宝可梦相遇的概率。遇到的宝可梦会比该区域内出现宝可梦的最高等级还高一级。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Bag 许愿星碎片 Sprite.png,,,no,,未知,,,,,,,,,,,,,,,,没有效果。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Bag 许愿星块 Sprite.png,,,,,,,,{{道具信息框/game,,,,,,,,,,,y,,投掷到宝可梦巢穴，使其发射红光或紫光，从而遇到极巨化宝可梦。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Dream ＨＰ增强剂 Sprite.png30px,Bag ＨＰ增强剂 Sprite.png,丰缘,,,道具、回复,,,{{道具信息框/game,y,y,y,y,y,y,y,,y,,y,y,选择１只ＨＰ基础点数小于２５２的同行宝可梦使用，让它提升１０ＨＰ基础点数。,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Dream 攻击增强剂 Sprite.png30px,Bag 攻击增强剂 Sprite.png,丰缘,,,道具、回复,,,{{道具信息框/game,y,y,y,y,y,y,y,,y,,y,y,选择１只攻击基础点数小于２５２的同行宝可梦使用，让它提升１０攻击基础点数。,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Dream 防御增强剂 Sprite.png30px,Bag 防御增强剂 Sprite.png,丰缘,,,道具、回复,,,{{道具信息框/game,y,y,y,y,y,y,y,,y,,y,y,选择１只防御基础点数小于２５２的同行宝可梦使用，让它提升１０防御基础点数。,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Dream 速度增强剂 Sprite.png30px,Bag 速度增强剂 Sprite.png,丰缘,,,道具、回复,,,{{道具信息框/game,y,y,y,y,y,y,y,,y,,y,y,选择１只速度基础点数小于２５２的同行宝可梦使用，让它提升１０速度基础点数。,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Dream 特攻增强剂 Sprite.png30px,Bag 特攻增强剂 Sprite.png,丰缘,,,道具、回复,,,{{道具信息框/game,y,y,y,y,y,y,y,,y,,y,y,选择１只特攻基础点数小于２５２的同行宝可梦使用，让它提升１０特攻基础点数。,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Dream ＰＰ提升剂 Sprite.png30px,Bag ＰＰ提升剂 Sprite.png,丰缘,,,道具、回复,,,{{道具信息框/game,y,y,y,y,y,y,y,,y,,y,y,"选择１只同行宝可梦的一个招式使用，让它的ＰＰ最大值提升基础的２０％。
最多只能提升至１６０％。",y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Dream 特防增强剂 Sprite.png30px,Bag 特防增强剂 Sprite.png,丰缘,,,道具、回复,,,{{道具信息框/game,,,y,y,y,y,y,,y,,y,y,选择１只特防基础点数小于２５２的同行宝可梦使用，让它提升１０特防基础点数。,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Dream ＰＰ极限提升剂 Sprite.png30px,Bag ＰＰ极限提升剂 Sprite.png,丰缘,,,道具、回复,,,{{道具信息框/game,,,y,y,y,y,y,,y,,y,y,"选择１只同行宝可梦的一个招式使用，让它的ＰＰ最大值提升基础的６０％。
最多只能提升至１６０％。",y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,特性胶囊,Dream 特性胶囊 Sprite.png30px,Bag 特性胶囊 Sprite.png,卡洛斯,,,回复、道具,,,{{道具信息框/game,,,,,,,,,y,,y,y,"对拥有第一特性和第二特性的宝可梦使用，在第一特性和第二特性之间改变。
对只有一种通常特性的宝可梦无法使用。
无法将宝可梦的特性在第一特性、第二特性与隐藏特性、特殊特性之间改变。
例：无法将甲贺忍蛙的特性在激流和变幻自如之间切换，因为变幻自如是一个隐藏特性。
例：无法将基格尔德的特性在气场破坏和群聚变形之间切换，因为群聚变形是一个特殊特性。
例：无法将甲贺忍蛙的特性变成牵绊变身，因为牵绊变身是一个特殊特性。",y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Dream 体力之羽 Sprite.png30px,Bag 体力之羽 Sprite.png,合众,,,道具、回复,,,{{道具信息框/game,,,,,,,y,,y,,y,,选择自己一只同行宝可梦使用。提升这只宝可梦的1点ＨＰ基础点数。,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Dream 肌力之羽 Sprite.png30px,Bag 肌力之羽 Sprite.png,合众,,,道具、回复,,,{{道具信息框/game,,,,,,,y,,y,,y,,选择自己一只同行宝可梦使用。提升这只宝可梦的1点攻击基础点数。,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Dream 抵抗之羽 Sprite.png30px,Bag 抵抗之羽 Sprite.png,合众,,,道具、回复,,,{{道具信息框/game,,,,,,,y,,y,,y,,选择自己的一只同行宝可梦使用。提升这只宝可梦的1点防御基础点数。,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Dream 智力之羽 Sprite.png30px,Bag 智力之羽 Sprite.png,合众,,,道具、回复,,,{{道具信息框/game,,,,,,,y,,y,,y,,选择自己一只同行宝可梦使用。提升这只宝可梦的1点特攻基础点数。,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Dream 精神之羽 Sprite.png30px,Bag 精神之羽 Sprite.png,合众,,,道具、回复,,,{{道具信息框/game,,,,,,,y,,y,,y,,选择自己一只同行宝可梦使用。提升这只宝可梦的1点特防基础点数。,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Dream 瞬发之羽 Sprite.png30px,Bag 瞬发之羽 Sprite.png,合众,,,道具、回复,,,{{道具信息框/game,,,,,,,y,,y,,y,,选择自己一只同行宝可梦使用。提升这只宝可梦的1点速度基础点数。,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,怕寂寞薄荷,Bag 怕寂寞薄荷 LA Sprite.png30px,Bag 怕寂寞薄荷 BDSP Sprite.png30px,道具,,,,,,{{道具信息框/game,,,,,,,,,,,yes,y,对宝可梦使用，将其能力值成长的难易度变更为与性格“怕寂寞”的宝可梦相同，攻击提升10%，防御下降10%。宝可梦的性格本身不会改变。,,,,Bag 怕寂寞薄荷 Sprite.png,道具,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,固执薄荷,Bag 怕寂寞薄荷 LA Sprite.png30px,Bag 怕寂寞薄荷 BDSP Sprite.png30px,道具,,,,,,{{道具信息框/game,,,,,,,,,,,yes,y,对宝可梦使用，将其能力值成长的难易度变更为与性格“固执”的宝可梦相同，攻击提升10%，特攻下降10%。宝可梦的性格本身不会改变。,,,,Bag 怕寂寞薄荷 Sprite.png,道具,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,顽皮薄荷,Bag 怕寂寞薄荷 LA Sprite.png30px,Bag 怕寂寞薄荷 BDSP Sprite.png30px,道具,,,,,,{{道具信息框/game,,,,,,,,,,,yes,y,对宝可梦使用，将其能力值成长的难易度变更为与性格“顽皮”的宝可梦相同，攻击提升10%，特防下降10%。宝可梦的性格本身不会改变。,,,,Bag 怕寂寞薄荷 Sprite.png,道具,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,勇敢薄荷,Bag 怕寂寞薄荷 LA Sprite.png30px,Bag 怕寂寞薄荷 BDSP Sprite.png30px,道具,,,,,,{{道具信息框/game,,,,,,,,,,,yes,y,对宝可梦使用，将其能力值成长的难易度变更为与性格“勇敢”的宝可梦相同，攻击提升10%，速度下降10%。宝可梦的性格本身不会改变。,,,,Bag 怕寂寞薄荷 Sprite.png,道具,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,大胆薄荷,Bag 大胆薄荷 LA Sprite.png30px,Bag 大胆薄荷 BDSP Sprite.png30px,道具,,,,,,{{道具信息框/game,,,,,,,,,,,yes,y,对宝可梦使用，将其能力值成长的难易度变更为与性格“大胆”的宝可梦相同，防御提升10%，攻击下降10%。宝可梦的性格本身不会改变。,,,,Bag 大胆薄荷 Sprite.png,道具,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,淘气薄荷,Bag 大胆薄荷 LA Sprite.png30px,Bag 大胆薄荷 BDSP Sprite.png30px,道具,,,,,,{{道具信息框/game,,,,,,,,,,,yes,y,对宝可梦使用，将其能力值成长的难易度变更为与性格“淘气”的宝可梦相同，防御提升10%，特攻下降10%。宝可梦的性格本身不会改变。,,,,Bag 大胆薄荷 Sprite.png,道具,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,乐天薄荷,Bag 大胆薄荷 LA Sprite.png30px,Bag 大胆薄荷 BDSP Sprite.png30px,道具,,,,,,{{道具信息框/game,,,,,,,,,,,yes,y,对宝可梦使用，将其能力值成长的难易度变更为与性格“乐天”的宝可梦相同，防御提升10%，特防下降10%。宝可梦的性格本身不会改变。,,,,Bag 大胆薄荷 Sprite.png,道具,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,悠闲薄荷,Bag 大胆薄荷 LA Sprite.png30px,Bag 大胆薄荷 BDSP Sprite.png30px,道具,,,,,,{{道具信息框/game,,,,,,,,,,,yes,y,对宝可梦使用，将其能力值成长的难易度变更为与性格“悠闲”的宝可梦相同，防御提升10%，速度下降10%。宝可梦的性格本身不会改变。,,,,Bag 大胆薄荷 Sprite.png,道具,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,内敛薄荷,Bag 内敛薄荷 LA Sprite.png30px,Bag 内敛薄荷 BDSP Sprite.png30px,道具,,,,,,{{道具信息框/game,,,,,,,,,,,yes,y,对宝可梦使用，将其能力值成长的难易度变更为与性格“内敛”的宝可梦相同，特攻提升10%，攻击下降10%。宝可梦的性格本身不会改变。,,,,Bag 内敛薄荷 Sprite.png,道具,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,慢吞吞薄荷,Bag 内敛薄荷 LA Sprite.png30px,Bag 内敛薄荷 BDSP Sprite.png30px,道具,,,,,,{{道具信息框/game,,,,,,,,,,,yes,y,对宝可梦使用，将其能力值成长的难易度变更为与性格“慢吞吞”的宝可梦相同，特攻提升10%，防御下降10%。宝可梦的性格本身不会改变。,,,,Bag 内敛薄荷 Sprite.png,道具,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,马虎薄荷,Bag 内敛薄荷 LA Sprite.png30px,Bag 内敛薄荷 BDSP Sprite.png30px,道具,,,,,,{{道具信息框/game,,,,,,,,,,,yes,y,对宝可梦使用，将其能力值成长的难易度变更为与性格“马虎”的宝可梦相同，特攻提升10%，特防下降10%。宝可梦的性格本身不会改变。,,,,Bag 内敛薄荷 Sprite.png,道具,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,冷静薄荷,Bag 内敛薄荷 LA Sprite.png30px,Bag 内敛薄荷 BDSP Sprite.png30px,道具,,,,,,{{道具信息框/game,,,,,,,,,,,yes,y,对宝可梦使用，将其能力值成长的难易度变更为与性格“冷静”的宝可梦相同，特攻提升10%，速度下降10%。宝可梦的性格本身不会改变。,,,,Bag 内敛薄荷 Sprite.png,道具,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,温和薄荷,Bag 温和薄荷 LA Sprite.png30px,Bag 温和薄荷 BDSP Sprite.png30px,道具,,,,,,{{道具信息框/game,,,,,,,,,,,yes,y,对宝可梦使用，将其能力值成长的难易度变更为与性格“温和”的宝可梦相同，特防提升10%，攻击下降10%。宝可梦的性格本身不会改变。,,,,Bag 温和薄荷 Sprite.png,道具,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,温顺薄荷,Bag 温和薄荷 LA Sprite.png30px,Bag 温和薄荷 BDSP Sprite.png30px,道具,,,,,,{{道具信息框/game,,,,,,,,,,,yes,y,对宝可梦使用，将其能力值成长的难易度变更为与性格“温顺”的宝可梦相同，特防提升10%，防御下降10%。宝可梦的性格本身不会改变。,,,,Bag 温和薄荷 Sprite.png,道具,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
