name,jname,enname,species,typen,type1,type2,ability1,abilityd,ndex,kdex,oldjdex,jdex,kdexs,gdexa,fbrow,obrow,opbrow,height,weight,egggroupn,egggroup1,egggroup2,expyield,expyieldgen5,gendercode,eggcycles,lv100exp,color,catchrate,body,evhp,evat,evde,evsa,evsd,evsp,footnotes,imagecode,imagecode2,imagecode3,ability1-2,abilityd3,form1,form2,form3,height2,height3,weight2,weight3,expyield2,expyieldgen5-2,abrow,gdex,imagecode4,tcg2,type2-2,ability1-3,abilityd4,form4,height4,weight4,expyield3,expyieldgen5-3,color2,adex,adexm,adexa,adex2,adexm2,adexa2,abilityn,abilityn2,abilityd2,ability2,type1-2,ability2-2,idex2,adexu,adexp,adexu2,adexp2,kdexm,hdex,oldhdex,sdex,egggroupn2,egggroup1-2,egggroupn3,egggroup1-3,gendercode2,gendercode3,kdexk,gdexc,evhp2,evat2,evde2,evsa2,evsd2,evsp2,type1-3,abilityn3,abilityn4,ability2-3,ability1-4,ability2-4,color3,body3,evhp3,evat3,evde3,evsa3,evsd3,evsp3,species2,heightn,tcg,type2-3,body2,weightn,catchrate2,formcolor2,formcolor3,forme,sprite,image,type1-4,color4,evhp4,evat4,evde4,evsa4,evsd4,evsp4,formcolor1,tcg3,imagecode5,imagecode6,type2-4,type2-5,type2-6,form5,form6,expyieldgen5-4,expyieldgen5-5,expyieldgen5-6,footprintform2,art,idex,species3,species4,expyield4,catchrate3,catchrate4,caption,abilityd5,abilityd6,width,display,type0,type0-2,ability1-5,height5,weight5,expyield5,color5,body4,body5,type2-1,ability3-3,ndex2,color6
铁甲蛹,トランセル,Metapod,蛹,,虫,,蜕皮,,011,011,025,025,024,,,,,0.7,9.9,1,虫,,72,72,127,15,"1,000,000",绿,120,02,0,0,2,0,0,0,,,,,,,,,,,,,,,,,014,,,,,,,,,,,,018,018,009,018,018,009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴大蝶,バタフリー,Butterfree,蝴蝶,,虫,飞行,复眼,有色眼镜,012,012,026,026,025,,,,,1.1,32.0,1,虫,,160,178,127,15,"1,000,000",白,45,13,0,0,0,2,1,0,,File:012Butterfree.png,File:012Butterfree-Gigantamax.png,,复眼,,巴大蝶,超极巨化的样子,,17.0~??.?,,???.?,,,,,015,,,,,,,,,,,,019,019,010,019,019,010,1,1,有色眼镜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
独角虫,ビードル,Weedle,毛毛虫,,虫,毒,鳞粉,逃跑,013,013,027,027,026,,,,,0.3,3.2,1,虫,,52,39,127,15,"1,000,000",褐,255,14,0,0,0,0,0,1,,,,,,,,,,,,,,,,057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鐵殼蛹,コクーン,Kakuna,蛹,,虫,毒,蜕皮,,014,014,028,028,027,,,,,0.6,10.0,1,虫,,71,72,127,15,"1,000,000",黄,120,02,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大针蜂,スピアー,Beedrill,毒蜂,,虫,毒,虫之预感,狙击手,015,015,029,029,028,,025,,,1.0,29.5,1,虫,,159,178,127,15,"1,000,000",黄,45,13,0,2,0,0,1,0,,File:015Beedrill.png,File:015Beedrill-Mega.png,,适应力,,大针蜂,超级大针蜂,,1.4,,40.5,,-;,223,058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
波波,ポッポ,Pidgey,小鸟,,一般,飞行,锐利目光,健壮胸肌,016,016,010,010,017,,,001,007,0.3,1.8,1,飞行,,55,50,127,15,"1,059,860",褐,255,09,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,蹒跚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
比比鸟,ピジョン,Pidgeotto,鸟,,一般,飞行,锐利目光,健壮胸肌,017,017,011,011,018,,,002,008,1.1,30.0,1,飞行,,113,122,127,15,"1,059,860",褐,120,09,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,蹒跚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大比鸟,ピジョット,Pidgeot,鸟,,一般,飞行,锐利目光,健壮胸肌,018,018,012,012,019,,,003,009,1.5,39.5,1,飞行,,172,216,127,15,"1,059,860",褐,45,09,0,0,0,0,0,3,,File:018Pidgeot.png,File:018Pidgeot-Mega.png,,无防守,,大比鸟,超级大比鸟,,2.2,,50.5,,-;,261,,,,,,,,,,,,,,,,,,,,2,,,蹒跚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小拉达,コラッタ,Rattata,鼠,,一般,,逃跑,活力,019,019,017,017,,,101,,,0.3,3.5,1,陆上,,57,51,127,15,"1,000,000",紫,255,08,0,0,0,0,0,1,,File:019Rattata.png,File:019Rattata-Alola.png,,貪吃鬼,,小拉達,阿罗拉的样子,,,,3.8,,-;,,067,,,,一般,,,,,,,,黑,015,015,006,015,015,006,2,2,厚脂肪,毅力,恶,活力,059,006,006,006,006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拉达,ラッタ,Raticate,鼠,,一般,,逃跑,活力,020,020,018,018,,,102,,,0.7,18.5,1,陆上,,116,145,127,15,"1,000,000",褐,127,08,0,0,0,0,0,2,,File:020Raticate.png,File:020Raticate-Alola.png,,貪吃鬼,,拉達,阿罗拉的样子,,,,25.5,,-;,,068,,,,一般,,,,,,,,黑,016,016,007,016,016,007,2,2,厚脂肪,毅力,恶,活力,060,007,007,007,007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
烈雀,オニスズメ,Spearow,小鸟,,一般,飞行,锐利目光,狙击手,021,021,013,013,,,039,,,0.3,2.0,1,飞行,,58,52,127,15,"1,000,000",褐,255,09,0,0,0,0,0,1,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,073,073,,087,087,,,,,,,,,040,024,040,033,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大嘴雀,オニドリル,Fearow,鸟嘴,,一般,飞行,锐利目光,狙击手,022,022,014,014,,,040,,,1.2,38.0,1,飞行,,162,155,127,15,"1,000,000",褐,90,09,0,0,0,0,0,2,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,074,074,,088,088,,,,,,,,,041,025,041,034,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿柏蛇,アーボ,Ekans,蛇,,毒,,威吓,紧张感,023,023,050,050,,,151,,,2.0,6.9,2,陆上,龙,62,58,127,20,"1,000,000",紫,255,02,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,061,061,,2,,,蜕皮,,,,,,,,037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿柏怪,アーボック,Arbok,眼镜蛇,,毒,,威吓,紧张感,024,024,051,051,,,152,,,3.5,65.0,2,陆上,龙,147,157,127,20,"1,000,000",紫,90,02,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,062,062,,2,,,蜕皮,,,,,,,,038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
皮卡丘,ピカチュウ,Pikachu,鼠,,电,,静电,避雷针,025,025,022,022,036,085,023,005,154,0.4,6.0,2,陆上,妖精,82,112,127,10,"1,000,000",黄,190,08,0,0,0,0,0,2,,File:025Pikachu.png,'''流行偶像''''''流行偶像'''｜'''博士''''''博士'''｜'''面罩摔角手''''''面罩摔角手'''｜'''贵妇''''''贵妇'''｜'''摇滚巨星''''''摇滚巨星'''$1;$1;$1;$1;$1;,'''初始''''''初始'''｜'''豐緣''''''豐緣'''｜'''神奧''''''神奧'''｜'''合眾''''''合眾'''｜'''卡洛斯''''''卡洛斯''''''阿羅拉''''''阿羅拉'''｜'''就決定是你了''''''就決定是你了'''｜'''世界''''''世界'''$1;$1;$1;$1;$1;$1;$1;$1;,避雷针,避雷针,皮卡丘,换装皮卡丘,戴着帽子的皮卡丘,0.4,0.4,6.0,6.0,,,002,194,File:025Pikachu-Gigantamax.png,,,,避雷针,超极巨化的样子,21.0~??.?,???.?,,,,025,025,,032,032,,,,,,,,,,,,,,163,156,104,1,未发现,1,未发现,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雷丘,ライチュウ,Raichu,鼠,,电,,静电,避雷针,026,026,023,023,037,086,024,006,155,0.8,30.0,2,陆上,妖精,122,218,127,10,"1,000,000",黄,75,06,0,0,0,0,0,3,,File:026Raichu.png,File:026Raichu-Alola.png,,冲浪之尾,,雷丘,阿罗拉的样子,,0.7,,21.0,,-;,,003,195,,,超能力,,,,,,,,褐,026,026,,033,033,,,,,,电,,,,,,,,164,157,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
穿山鼠,サンド,Sandshrew,鼠,,地面,,沙隐,拨沙,027,027,048,048,,168,,180,010,0.6,12.0,1,陆上,,93,60,127,20,"1,000,000",黄,255,06,0,0,1,0,0,0,,File:027Sandshrew.png,File:027Sandshrew-Alola.png,,雪隐,,穿山鼠,阿罗拉的样子,,0.7,,40.0,,-;,,194,,,,钢,,,,,,,,白,251,,,328,,,,,拨雪,,冰,,113,123,,149,,097,117,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
穿山王,サンドパン,Sandslash,鼠,,地面,,沙隐,拨沙,028,028,049,049,,169,,181,011,1.0,29.5,1,陆上,,163,158,127,20,"1,000,000",黄,90,06,0,0,2,0,0,0,,File:028Sandslash.png,File:028Sandslash-Alola.png,,雪隐,,穿山王,阿罗拉的样子,,1.2,,55.0,,-;,,195,,,,钢,,,,,,,,蓝,252,,,329,,,,,拨雪,,冰,,114,124,,150,,098,118,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尼多兰,ニドラン♀,Nidoran♀,毒针,,毒,,毒刺,活力,029,029,095,095,,,,,,0.4,7.0,2,怪兽,陆上,59,55,254,20,"1,059,860",蓝,235,08,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,斗争心,,,,,,,,,,,,,,,,,,104,065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尼多娜,ニドリーナ,Nidorina,毒针,,毒,,毒刺,活力,030,030,096,096,,,,,,0.8,20.0,1,未发现,,117,128,254,20,"1,059,860",蓝,120,08,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,斗争心,,,,,,,,,,,,,,,,,,105,066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尼多后,ニドクイン,Nidoqueen,钻锥,,毒,地面,毒刺,强行,031,031,097,097,,,,,,1.3,60.0,1,未发现,,194,227,254,20,"1,059,860",蓝,45,06,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,斗争心,,,,,,,,,,,,,,,,,,106,067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尼多朗,ニドラン♂,Nidoran♂,毒针,,毒,,毒刺,活力,032,032,098,098,,,,,,0.5,9.0,2,怪兽,陆上,60,55,0,20,"1,059,860",紫,235,08,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,斗争心,,,,,,,,,,,,,,,,,,107,068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尼多力诺,ニドリーノ,Nidorino,毒针,,毒,,毒刺,活力,033,033,099,099,,,,,,0.9,19.5,2,怪兽,陆上,118,128,0,20,"1,059,860",紫,120,08,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,斗争心,,,,,,,,,,,,,,,,,,108,069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尼多王,ニドキング,Nidoking,钻锥,,毒,地面,毒刺,强行,034,034,100,100,,,,,,1.4,62.0,2,怪兽,陆上,195,227,0,20,"1,059,860",紫,45,06,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,斗争心,,,,,,,,,,,,,,,,,,109,070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
皮皮,ピッピ,Clefairy,妖精,,妖精,,迷人之躯,友情防守,035,035,041,041,,,,,,0.6,7.5,1,妖精,,68,113,191,10,"800,000",粉红,150,06,2,0,0,0,0,0,,,,,,,,,,,,,,,,,255,,,,,,,,,,,,211,,,273,,,2,,,魔法防守,,,089,083,,094,,,,,100,,,,,,,,044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
皮可西,ピクシー,Clefable,妖精,,妖精,,迷人之躯,纯朴,036,036,042,042,,,,,,1.3,40.0,1,妖精,,129,217,191,10,"800,000",粉红,25,06,3,0,0,0,0,0,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,212,,,274,,,2,,,魔法防守,,,090,084,,095,,,,,101,,,,,,,,045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六尾,ロコン,Vulpix,狐狸,,火,,引火,日照,037,037,125,127,,,,167,108,0.6,9.9,1,陆上,,63,60,191,20,"1,000,000",褐,190,08,0,0,0,0,0,1,,File:037Vulpix.png,File:037Vulpix-Alola.png,,雪隐,,六尾,阿罗拉的样子,,,,,,-;,,171,068,,,,,,,,,,,白,253,,,330,,,,,降雪,,冰,,248,125,,151,,,160,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九尾,キュウコン,Ninetales,狐狸,,火,,引火,日照,038,038,126,128,,,,168,109,1.1,19.9,1,陆上,,178,177,191,20,"1,000,000",黄,75,08,0,0,0,0,1,1,,File:038Ninetales.png,File:038Ninetales-Alola.png,,雪隐,,九尾,阿罗拉的样子,,,,,,-;,,172,069,,,妖精,,,,,,,,白,254,,,331,,,,,降雪,,冰,,249,126,,152,,,161,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
胖丁,プリン,Jigglypuff,气球,,一般,妖精,迷人之躯,友情防守,039,039,044,044,,012,100,,,0.5,5.5,1,妖精,,76,95,191,10,"800,000",粉红,170,12,2,0,0,0,0,0,,,,,,,,,,,,,,,,203,,,,,,,,,,,,,135,,062,168,,069,2,,,好胜,,,282,,,,,120,143,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
胖可丁,プクリン,Wigglytuff,气球,,一般,妖精,迷人之躯,察觉,040,040,045,045,,013,,,,1.0,12.0,1,妖精,,109,196,191,10,"800,000",粉红,50,12,3,0,0,0,0,0,,,,,,,,,,,,,,,,204,,,,,,,,,,,,,136,,063,169,,070,2,,,好胜,,,283,,,,,121,144,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
超音蝠,ズバット,Zubat,蝙蝠,,毒,飞行,精神力,穿透,041,041,037,037,145,,058,042,064,0.8,7.5,1,飞行,,54,49,127,15,"1,000,000",紫,255,09,0,0,0,0,0,1,,,,,,,,,,,,,,,,014,,,,,,,,,,,,,068,068,026,080,080,026,,,,,,,061,035,019,035,026,,065,063,028,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大嘴蝠,ゴルバット,Golbat,蝙蝠,,毒,飞行,精神力,穿透,042,042,038,038,146,,059,043,065,1.6,55.0,1,飞行,,171,159,127,15,"1,000,000",紫,90,09,0,0,0,0,0,2,,,,,,,,,,,,,,,,015,,,,,,,,,,,,,069,069,027,081,081,027,,,,,,,062,036,020,036,027,,066,064,029,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
走路草,ナゾノクサ,Oddish,杂草,,草,毒,叶绿素,逃跑,043,043,083,083,105,,126,127,012,0.5,5.4,1,植物,,78,64,127,20,"1,059,860",蓝,255,07,0,0,0,1,0,0,,,,,,,,,,,,,,,,114,055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,093,088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臭臭花,クサイハナ,Gloom,杂草,,草,毒,叶绿素,恶臭,044,044,084,084,106,,127,128,013,0.8,8.6,1,植物,,132,138,127,20,"1,059,860",蓝,120,12,0,0,0,2,0,0,,,,,,,,,,,,,,,,115,056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092,089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
霸王花,ラフレシア,Vileplume,花,,草,毒,叶绿素,孢子,045,045,085,085,107,,128,129,014,1.2,18.6,1,植物,,184,221,127,20,"1,059,860",红,45,12,0,0,0,3,0,0,,,,,,,,,,,,,,,,116,057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,093,090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
