n,name,enname,jpname,text,colorscheme,Moldbreaker,gen,对战外,对战中,Skillswap,Trace,Change,Noability,Entry,Transform,oldname
其中，睡眠概率略高于10%，麻痹概率为10%，中毒概率略低于10%。[1]连续招式的每一击都会单独触发该特性。
此特性对草属性宝可梦、拥有防尘特性的宝可梦、以及携带防尘护目镜的宝可梦无效。因此，该特性属于粉末类特性。",,,,,,,
72,干劲,Vital Spirit,やるき,通过激发出干劲，不会变为睡眠状态。,格斗,y,3,当该特性的宝可梦配置在队伍首位时，出现等级更高的野生宝可梦机率提升为50%。,该特性的宝可梦不会陷入睡眠状态，另外睡觉招式会无效。,,,,,,,
18,引火,Flash Fire,もらいび,受到火属性的招式攻击时，吸收火焰，自己使出的火属性招式会变强。,火,y,3,当该特性的宝可梦配置在同行宝可梦首位时，能够提升野外遭遇火屬性宝可梦的概率。,"具有该特性的宝可梦不受火屬性招式的影响，当被火属性的招式击中时，此宝可梦标记为引火状态，直到换下场或者失去此特性。
该特性只能确保自己不受火属性招式的伤害，不能吸引火属性招式。
可以抵御火属性的变化招式。包括通过其他方式变为火属性的变化招式。
对于连续招式，只会触发1次特性效果。
触发该特性时，与没有效果相同，不会触发招式的附加效果。只要此宝可梦已处于引火状态，此宝可梦使用火属性攻击招式时，宝可梦的攻击和特攻×1.5。当该特性的宝可梦处于冰冻，该特性可以触发。烈焰溅射无法触发引火。",,,,,,,
52,怪力钳,Hyper Cutter,かいりきバサミ,因为拥有以力量自豪的钳子，不会被对手降低攻击。,攻击,yes,3,在《綠寶石》中，该特性的宝可梦使用居合斩能切除更大范围的草丛。,攻击能力变化不会被对方以任何方式降低。,,,,,,,
29,恒净之躯,Clear Body,クリアボディ,不会因为对手的招式或特性而被降低能力。,钢,y,3,,"在通常情况下，能力不会被对方及同伴的招式和特性降低（例如招式鬼面、特性威吓等）。
恒净之躯特性不能阻止以下能力的降低方式：
自身使用降低自身能力的招式：蛮力、臂锤等；
自身携带降低能力的道具：黑色铁球等；
降低能力的异常状态：麻痹、灼伤；
与对方平分能力的招式：防守平分、力量平分；
与对方交换能力的招式：心灵互换、防守互换、力量互换；
与同行宝可梦传递能力的招式：接棒；
改变能力的招式：颠倒；
无视恒净之躯的特性：破格、涡轮火焰、兆级电压。",,,,,,,
1,恶臭,Stench,あくしゅう,通过释放臭臭的气味，在攻击的时候，有时会使对手畏缩。,毒,,3,"当该特性的宝可梦配置在同行宝可梦首位时，野生宝可梦出现机率降低50%。
在对战金字塔中降低25%。","使用招式攻击对手造成傷害时，对方有10%几率陷入畏缩状态。
该效果与王者之证／锐利之牙不叠加。",yes,yes,yes,yes,no,yes,
33,悠游自如,Swift Swim,すいすい,下雨天气时，速度会提高。,水,,3,,下雨或大雨天气时，速度能力变为原来的2倍。,,,,,,,
54,懒惰,Truant,なまけ,如果使出招式，下一回合就会休息。,一般,,3,,"每2回合才能发动一次招式。在懒惰回合可以作出交换操作。
可以使用蓄力的招式，但蓄力完毕后下一回合会因为偷懒而不能发出招式。
可以使用使用后下一回合自己将无法动弹的招式，其停滞与懒惰的停滞会在同一回合计算，懒惰回合不能作出任何操作。
该特性能被木乃伊覆盖，不能被烦恼种子、单纯光束、找伙伴等招式主动覆盖。
该特性能被化学变化气体暂时消除。",yes,yes,,yes,no,yes,
20,我行我素,Own Tempo,マイペース,因为我行我素，不会变为混乱状态。对威吓也毫不动摇。,超能力,,3,,"该特性的宝可梦不会陷入混乱状态。陷入混乱的宝可梦获得该特性时混乱状态消除。在该特性的宝可梦使用花瓣舞、逆鳞或者芭亚果等使自身混乱后，混乱状态仍然消除。
该特性不受威吓影响。",,,,,,,
4,戰鬥盔甲,Battle Armor,カブトアーマー,被坚硬的甲壳守护着，不会被对手的攻击击中要害。,虫,yes,3,,不会被击中要害，即使是必定命中要害的招式也不会击中要害。,,,,,,,
45,扬沙,Sand Stream,すなおこし,出场时，会把天气变为沙暴。,岩石,,3,,"当該寶可夢登场时，天气转为沙暴并持续5回合。
在携带了道具沙沙岩石的情况下，沙暴会持续8回合。
在大雨、大日照和乱流天气下，特性发动失败。
如果有多只拥有可更换天气特性的宝可梦同时登场，那么将会按照宝可梦的速度依次发动特性改变天气，后者覆盖前者。发动失败的情况下除外。",,,,,yes,,
53,撿拾,Pickup,ものひろい,有时会捡来对手用过的道具，冒险过程中也会捡到。,道具,,3,"在对战结束后有10%机率會捡拾到特定物品，撿拾以携带表示，自《綠寶石》起，当持有该特性的宝可梦等级提升，其可捡拾的物品也随之变动。
当宝可梦已携带物品或成功收服野生宝可梦时该特性无效。在部分战斗设施中捡拾无效。
道具列表《紅寶石／藍寶石》


稀有度

30%

10%

5%

4%

1%


道具




















《火紅／葉綠》


稀有度

15%

10%

5%

1%


道具
































《綠寶石》


等级

30%

10%

5%

3%

1%


1-10
























11-20
























21-30
























31-40
























41-50
























51-60
























61-70
























71-80
























81-90
























91-100






















对战金字塔


轮次*

30%

10%

5%


1






















2






















3






















4






















5






















6






















7






















8






















9






















10






















11






















12






















13






















14






















15






















16






















17






















18






















19






















20




















《鑽石／珍珠》及《白金》


等级

30%

10%

4%

1%


1-10
























11-20
























21-30
























31-40
























41-50
























51-60
























61-70
























71-80
























81-90
























91-100






















《心金／魂銀》


等级

30%

10%

5%

3%

1%


1-10
























11-20
























21-30
























31-40
























41-50
























51-60
























61-70
























71-80
























81-90
























91-100






















《黑／白》


等级

30%

10%

4%

1%


1-10
























11-20
























21-30
























31-40
























41-50
























51-60
























61-70
























71-80
























81-90
























91-100






















《黑２／白２》及《Ｘ／Ｙ》


等级

30%

10%

4%

1%


1-10
























11-20
























21-30
























31-40
























41-50
























51-60
























61-70
























71-80
























81-90
























91-100






















《歐米加紅寶石／阿爾法藍寶石》


等级

30%

10%

4%

1%


1-10
























11-20
























21-30
























31-40
























41-50
























51-60
























61-70
























71-80
























81-90
























91-100






















《太陽／月亮》及《究極之日／究極之月》


等级

1-10

11-20

21-30

31-40

41-50

51-60

61-70

71-80

81-90

91-100




1%
1%
1%
1%
1%
1%
1%
1%
1%
1%




1%
1%
1%
1%
1%
1%
1%
1%
1%
1%




25%













10%
25%












10%
10%
25%











10%
10%
10%
25%










10%
10%
10%
10%
20%









10%
10%
10%
10%
10%
20%








10%
10%
10%
10%
10%
10%
20%







5%
5%
5%
10%
10%
10%
10%
20%






3%
3%
5%
5%
10%
10%
10%
10%
20%






2%
2%
5%
5%
7%
10%
10%
10%
20%





3%
5%
5%
10%
10%
10%
10%
10%
10%





3%
5%
5%
10%
10%
10%
10%
10%
10%





3%
3%
3%
3%
3%
3%
3%
3%
3%






3%
3%
3%
8%
8%
8%
8%
8%






1%
1%
2%
3%
5%
5%
10%
15%







1%
4%
5%
5%
5%
5%
5%









1%
4%
10%
10%
10%











2%
10%
10%












1%
4%




5%
3%













1%
3%













1%
4%













1%
1%
1%














3%
5%














1%
3%
《劍／盾》


等级

1-10

11-20

21-30

31-40

41-50

51-60

61-70

71-80

81-90

91-100




非常常见













常见
不常见












不常见
常见












不常见
不常见
常见











不常见
不常见
不常见
常见










罕见
不常见
不常见











罕见
不常见
不常见
不常见
常见









罕见
罕见
不常见
不常见
不常见
常见








罕见
罕见
罕见
不常见
不常见
不常见
常见







罕见
罕见
罕见
罕见
不常见
不常见
不常见
常见






非常罕见
非常罕见
罕见
罕见
罕见










罕见
罕见
罕见
罕见
不常见
不常见
不常见
常见






罕见
罕见
罕见
罕见
罕见
罕见
罕见
不常见
不常见





罕见
罕见
罕见
罕见
罕见
罕见
罕见
不常见
不常见





非常罕见
非常罕见
非常罕见
非常罕见
罕见
罕见
罕见
罕见
罕见






罕见
罕见
罕见
罕见
罕见
罕见
罕见
罕见






罕见
罕见
罕见
罕见
不常见
不常见
不常见
常见






非常罕见
非常罕见
罕见
罕见
罕见









非常罕见
非常罕见
非常罕见
罕见
罕见
罕见
罕见
罕见






非常罕见
非常罕见
非常罕见
非常罕见
罕见
罕见
罕见
罕见






非常罕见
非常罕见
非常罕见
非常罕见
非常罕见
非常罕见
非常罕见
非常罕见






非常罕见
非常罕见
非常罕见
非常罕见
非常罕见
非常罕见
非常罕见
非常罕见






非常罕见
非常罕见
非常罕见
非常罕见
非常罕见
非常罕见
非常罕见
非常罕见






非常罕见
非常罕见
非常罕见
非常罕见
非常罕见
非常罕见
非常罕见
非常罕见






非常罕见
非常罕见
非常罕见
非常罕见
非常罕见
非常罕见
非常罕见
非常罕见






非常罕见
罕见
罕见
罕见
罕见
罕见
罕见
罕见







罕见
罕见
罕见
罕见
不常见
不常见
不常见








非常罕见
非常罕见
罕见
罕见
罕见
罕见










非常罕见
非常罕见
罕见
罕见











非常罕见
非常罕见
非常罕见
《晶燦鑽石／明亮珍珠》


等级

1-10

11-20

21-30

31-40

41-50

51-60

61-70

71-80

81-90

91-100




35%













8%
30%












25%
8%












8%
8%
30%











3%
8%
9%











8%
8%
9%
30%










3%
8%
9%
9%
30%









3%
4%
8%
9%
9%
30%








3%
4%
3%
8%
9%
10%
30%







3%
4%
3%
4%
8%
9%
10%
30%







4%
3%
4%
4%
9%
9%
10%
30%






1%
1%
1%
1%
4%
4%
5%
4%
5%





4%
3%
4%
4%
4%
4%
5%
9%
10%





4%
3%
4%
4%
4%
4%
5%
9%
10%





4%
3%
4%
4%
4%
4%
5%
9%
10%






3%
4%
4%
4%
9%
9%
8%
30%






3%
4%
4%
4%
4%
5%
4%
5%






1%
1%
1%
1%
1%
1%
1%
1%






1%
1%
1%
1%
1%
1%
1%
1%






1%
1%
1%
1%
1%
1%
1%
1%






1%
1%
1%
1%
1%
1%
1%
1%






1%
1%
1%
1%
1%
1%
1%
1%







4%
4%
4%
4%
9%
9%
9%











1%
1%
1%






1%
1%
1%
4%
4%
5%
4%
5%




1%
1%
3%
4%
4%











1%
1%
4%
4%
4%











1%
1%
4%
5%
4%
5%










1%
1%
4%
5%
《朱／紫》


等级

1-10

11-20

21-30

31-40

41-50

51-60

61-70

71-80

81-90

91-100




35%
10%












15%
15%
15%
10%










10%
10%
10%
10%










10%
20%
20%
20%
20%
10%








3%
5%
10%
10%
10%
10%
15%







3%
3%
5%
10%
20%
20%
20%
20%
10%






3%
3%
3%
10%
10%
10%
20%
20%
20%






3%
3%
3%
10%
10%
10%
10%
10%




1%
2%
3%
4%
5%











1%
2%
3%
4%
5%











1%
2%
3%
4%
5%
5%










1%
2%
3%
5%





1%
1%
2%
2%
3%
3%
4%
4%
5%






1%
2%
2%
3%
3%
4%
4%
5%




20%
10%












3%
15%
10%












3%
3%
5%
5%
7%
7%
7%
10%
12%





3%
3%
5%
5%
7%
7%
7%
10%
12%











1%
1%
1%






5%
5%
5%
5%
5%
5%
5%
5%






1%
3%
3%
3%
3%
5%
5%
5%






1%
1%
1%
1%
3%
6%
8%
10%






1%
1%
1%
1%
1%
1%
1%
1%






1%
1%
1%
1%
1%
1%
1%
1%






1%
1%
1%
1%
1%
1%
1%
1%






1%
1%
1%
1%
1%
1%
1%
1%






1%
1%
1%
1%
1%
1%
1%
1%","第三世代、第四世代对战中该特性无效。
第五世代起当自己没有携带物品时，回合结束后获得在自己的非远程招式攻击范围内，对方宝可梦或同伴宝可梦於該回合使用或投掷而消耗的携带物品。如果回合内对手宝可梦与同伴宝可梦均使用了道具，优先获得对手的道具。
同一回合内离场或陷入濒死的宝可梦用掉的道具无法被捡拾，即使在該回合内又重新上场。
被烧尽，啄食，虫咬，拍落的道具无法被捡拾，因受到攻击而破裂的气球无法被捡拾。",,,,,,,
13,无关天气,Cloud Nine,ノーてんき,任何天气的影响都会消失。,天空,,3,,拥有该特性的宝可梦在场时，任何天气造成的影响无效。天气并不会消失。,,,,,yes,,
70,日照,Drought,ひでり,出场时，会将天气变为晴朗。,火,,3,,"当該寶可夢登场时，天气转为大晴天并持续5回合。
在携带了道具炽热岩石的情况下，大晴天会持续8回合。
在大雨、大日照和乱流天气下，特性发动失败。
如果有多只拥有可更换天气特性的宝可梦同时登场，那么将会按照宝可梦的速度依次发动特性改变天气，后者覆盖前者。发动失败的情况下除外。",,,,,yes,,
48,早起,Early Bird,はやおき,即使变为睡眠状态，也能以２倍的速度提早醒来。,清晨,,3,,"该特性的宝可梦陷入睡眠的持续回合变为原来的一半。例如如果原本睡眠状态会持续3回合时变为1回合，原本持续1回合的话会立刻清醒。
由于自身陷入睡眠也同样有效。",,,,,,,
7,柔软,Limber,じゅうなん,因为身体柔软，不会变为麻痹状态。,电,,3,,该特性的宝可梦不会陷入麻痹状态，陷入麻痹的宝可梦获得该特性时麻痹状态消除。,,,,,,,
57,正电,Plus,プラス,出场的伙伴之间如果有正电或负电特性的宝可梦，自己的特攻会提高。,红宝石,y,3,,"场上己方同伴具有正电或负电特性时，特攻能力×1.5。
磁场操控可令己方所有特性为正电或负电的宝可梦的防御和特防分别提升1级。辅助齿轮可令己方所有特性为正电或负电的宝可梦的攻击和特攻分别提升1级。",,,,,,,
62,毅力,Guts,こんじょう,如果变为异常状态，会拿出毅力，攻击会提高。,攻击,,3,,"该特性的宝可梦处于除濒死以外的异常状态时，攻击提升50%，并无视灼伤的攻击变为原本的50%效果。
该特性的宝可梦被冰冻时使用解除冰冻状态的招式，攻击不会提升。",,,,,,,
38,毒刺,Poison Point,どくのトゲ,有时会让接触到自己的对手变为中毒状态。,毒,,3,,"使用接触类招式攻击该特性的宝可梦时会有30%的机率中毒。
对于拥有该特性的宝可梦使用连续招式，每次中毒几率分开计算。",,,,,,,
76,气闸,Air Lock,エアロック,所有天气的影响都会消失。,飞行,,3,,拥有该特性的宝可梦在场时，任何天气造成的影响无效。天气并不会消失。,,,,,yes,,
41,水幕,Water Veil,みずのベール,将水幕裹在身上，不会变为灼伤状态。,水,y,3,,该特性的宝可梦不会陷入灼伤状态。当灼伤状态的宝可梦获得该特性时灼伤状态会被治愈。,,,,,,,
64,污泥浆,Liquid Ooze,ヘドロえき,吸收了污泥浆的对手会因强烈的恶臭而受到伤害，减少ＨＰ。,毒,y,3,,,,,,,,,
71,沙穴,Arena Trap,ありじごく,在战斗中让对手无法逃走。,地面,,3,如果把拥有该特性的宝可梦放置在同行宝可梦的首位，遇到野生宝可梦的机率提高至2倍。,主頁面：无法逃走（状态）使对方所有非幽灵属性的地面上的宝可梦处于无法逃走状态，不能替换或逃走。,,,,,,,
